红彩椒黄,4.00,4.50,5.00,特菜,斤,2021-06-30
菊苣,10.00,10.50,11.00,特菜,斤,2021-06-30
芦笋,8.00,9.00,10.00,特菜,斤,2021-06-30
冬笋,8.00,8.50,9.00,特菜,斤,2021-06-30
慈姑,12.00,13.00,14.00,特菜,斤,2021-06-30
韭黄,8.00,8.50,9.00,特菜,斤,2021-06-30
法香,7.00,7.50,8.00,特菜,斤,2021-06-30
豆尖,8.00,9.00,10.00,特菜,斤,2021-06-30
秋葵,7.00,7.50,8.00,特菜,斤,2021-06-30
甜豆,8.00,8.50,9.00,特菜,斤,2021-06-30
龙豆,27.00,27.50,28.00,特菜,斤,2021-06-30
凉瓜,5.00,5.25,5.50,特菜,斤,2021-06-30
银芽,4.50,5.00,5.50,特菜,斤,2021-06-30
南姜,6.00,6.50,7.00,特菜,斤,2021-06-30
大葱,0.80,0.95,1.10,冀鲁,斤,2021-06-30
小葱,1.20,1.35,1.50,普通,斤,2021-06-30
蒜苗,2.00,3.50,5.00,苏鲁,斤,2021-06-30
蒜黄,6.00,6.50,7.00,冀,斤,2021-06-30
青蒜,2.00,2.25,2.50,冀,斤,2021-06-30
平菇,2.00,3.00,4.00,小叶,斤,2021-06-30
香菇,4.00,4.50,5.00,普通,斤,2021-06-30
白玉菇,3.00,3.50,4.00,普通,斤,2021-06-30
口蘑,9.00,9.50,10.00,普通,斤,2021-06-30
杏鲍菇,2.00,2.50,3.00,普通,斤,2021-06-30
金针菇,1.50,2.00,2.50,普通,斤,2021-06-30
大白菜,0.30,0.38,0.45,新,斤,2021-06-30
娃娃菜,1.00,1.20,1.40,大冀新,斤,2021-06-30
小白菜,1.00,1.25,1.50,普通,斤,2021-06-30
芹菜,0.90,1.05,1.20,冀,斤,2021-06-30
西芹,2.00,2.20,2.40,普通,斤,2021-06-30
菠菜,1.00,1.25,1.50,冀蒙,斤,2021-06-30
莴笋,0.80,1.00,1.20,普通,斤,2021-06-30
团生菜,1.50,1.90,2.30,毛|净,斤,2021-06-30
圆白菜,0.50,0.65,0.80,冀,斤,2021-06-30
护心肉,16.00,16.00,16.00,猪肉类,斤,2021-06-29
前肘,9.00,9.50,10.00,猪肉类,斤,2021-06-29
